Date,AA_arr_delay,AS_arr_delay,B6_arr_delay,DL_arr_delay,EV_arr_delay,F9_arr_delay,FL_arr_delay,HA_arr_delay,MQ_arr_delay,OO_arr_delay,UA_arr_delay,US_arr_delay,VX_arr_delay,WN_arr_delay,ArrDelay,AA_dept_delay,AS_dept_delay,B6_dept_delay,DL_dept_delay,EV_dept_delay,F9_dept_delay,FL_dept_delay,HA_dept_delay,MQ_dept_delay,OO_dept_delay,UA_dept_delay,US_dept_delay,VX_dept_delay,WN_dept_delay,DeptDelay,TotalCancel
2014-04-25,406,123,241,784,642,103,95,60,377,740,454,505,79,1822,6431,378,62,200,725,588,80,115,23,274,557,604,374,76,2115,6171,126
2014-04-26,276,88,235,430,377,46,51,52,204,477,318,262,24,1098,3938,261,57,204,385,370,34,68,41,147,331,458,234,25,1344,3959,80
2014-04-27,797,173,234,1011,921,125,81,42,606,861,641,478,81,1909,7960,683,89,205,847,831,94,85,24,509,679,708,369,76,2066,7265,217
2014-04-28,729,123,160,1055,1056,108,117,66,687,750,564,390,47,1965,7817,614,73,157,875,963,91,120,45,562,598,678,320,52,2243,7391,279
2014-04-29,617,103,279,875,939,95,103,47,562,628,595,517,42,1715,7117,540,78,253,731,846,70,110,26,436,527,671,343,40,1943,6614,523
2014-04-30,669,171,379,1123,882,145,145,65,600,679,644,639,93,2117,8351,588,133,334,1041,770,119,155,31,453,559,713,527,89,2215,7727,540
2014-05-01,660,154,474,1007,881,138,119,63,597,662,636,490,45,2076,8002,643,98,427,995,856,110,150,30,438,549,804,460,53,2332,7945,161
2014-05-02,516,103,311,795,675,109,104,62,522,592,455,395,32,1839,6510,489,72,252,760,653,88,122,26,395,468,571,323,31,2095,6345,83
2014-05-03,421,101,215,490,291,77,47,67,324,368,279,249,24,966,3919,406,54,183,416,308,70,62,38,257,301,430,248,34,1210,4017,61
2014-05-04,382,126,233,572,510,71,37,32,444,532,355,294,57,1365,5010,387,62,211,590,505,63,70,16,320,389,477,300,55,1689,5134,100
2014-05-05,354,132,178,637,567,90,62,40,519,562,429,290,48,1392,5300,364,73,188,626,519,86,77,24,408,405,562,254,46,1810,5442,139
2014-05-06,326,99,156,515,599,66,43,32,309,491,393,254,34,1236,4553,300,48,161,512,586,55,69,14,207,365,521,252,36,1559,4685,131
2014-05-07,380,121,190,618,683,97,72,47,395,690,430,336,38,1555,5652,350,47,194,550,647,74,111,20,281,495,588,260,37,1885,5539,118
2014-05-08,730,196,313,900,912,145,89,89,614,833,718,505,114,2149,8307,658,121,296,891,844,104,122,60,466,650,842,410,110,2285,7859,896
2014-05-09,881,175,243,1066,1203,112,126,88,815,903,792,520,89,2168,9181,897,115,257,987,1141,89,148,53,685,750,899,426,81,2380,8908,380
2014-05-10,489,108,224,542,593,96,67,59,350,478,343,373,48,1148,4918,522,55,208,432,595,82,95,33,277,347,497,334,42,1407,4926,216
2014-05-11,548,159,175,639,620,180,72,40,466,707,532,340,56,1635,6169,558,87,165,627,606,131,95,15,389,555,660,314,50,1806,6058,348
2014-05-12,758,159,245,1057,1026,215,88,45,571,776,682,459,77,2047,8205,700,97,221,960,980,183,118,18,445,618,782,363,61,2294,7840,1131
2014-05-13,782,144,244,795,891,90,74,36,516,631,681,474,68,1849,7275,798,107,258,827,916,68,94,16,449,529,808,385,62,2165,7482,1485
2014-05-14,689,126,224,997,1045,133,116,39,671,701,702,501,53,2198,8195,658,93,212,886,979,88,140,17,528,577,833,424,47,2414,7896,474
2014-05-15,891,166,405,1300,1013,144,152,62,682,725,782,735,65,2264,9386,864,119,331,1146,998,127,146,27,558,578,918,599,70,2486,8967,418
2014-05-16,763,133,385,1034,864,120,117,57,734,617,656,674,52,2256,8462,734,83,346,1011,844,96,142,40,586,456,834,544,67,2488,8271,425
2014-05-17,355,136,177,550,459,108,43,39,367,477,230,267,41,1220,4469,423,97,202,543,500,101,83,20,287,391,467,308,58,1572,5052,115
2014-05-18,430,121,203,911,690,75,84,81,493,617,374,319,53,1515,5966,480,67,226,860,696,68,108,54,386,510,594,314,62,1849,6274,101
2014-05-19,538,145,166,849,721,130,110,47,546,752,430,308,84,1795,6621,554,90,166,833,724,96,131,25,424,631,693,303,82,2189,6941,94
2014-05-20,408,126,129,586,557,131,61,48,356,628,456,264,49,1714,5513,416,76,152,558,577,114,84,22,287,513,640,271,64,2055,5829,192
2014-05-21,563,169,200,653,685,149,91,76,514,776,607,407,69,1930,6889,535,104,175,670,645,126,119,55,413,635,757,328,79,2247,6888,260
